episode,timestep,reward
27,2000,-64.037
54,4000,-66.6296
82,6000,-64.3214
109,8000,-67.5556
136,10000,-58.6667
164,12000,-61.8214
191,14000,-61.4444
219,16000,-47.3571
246,18000,-29.037
273,20000,-35.1481
301,22000,-20.3929
328,24000,-4.5926
356,26000,0.3214
383,28000,-15.1481
413,30000,27.6667
441,32000,32.3929
468,34000,80.7778
496,36000,69.8214
523,38000,122.8148
550,40000,109.1111
576,42000,132.8077
603,44000,146.037
630,46000,150.2963
656,48000,192.3846
682,50000,175.1154
707,52000,197.16
732,54000,215.92
756,56000,248.7083
779,58000,258.1304
799,60000,305.8
819,62000,294.4
836,64000,474.9412
849,66000,1259.2308
863,68000,812.3571
871,70000,3688.75
880,72000,2104.4444
885,74000,6809.4
896,76000,2146.9091
907,78000,1503.7273
915,80000,3652.375
922,82000,4635.1429
930,84000,2872.0
939,86000,3643.8889
946,88000,4027.2857
952,90000,5371.3333
963,92000,2227.8182
974,94000,1986.5455
983,96000,3226.8889
992,98000,2743.4444
1002,100000,2370.8
1009,102000,2528.7143
1020,104000,2396.0909
1034,106000,1075.7857
1044,108000,2086.1
1050,110000,4699.8333
1057,112000,3454.8571
1066,114000,2902.4444
1075,116000,2594.5556
1083,118000,2684.625
1088,120000,5747.6
1092,122000,9741.5
1096,124000,10191.25
1099,126000,14117.6667
1102,128000,10318.0
1112,130000,3261.9
1116,132000,9067.0
1124,134000,2365.75
1128,136000,11310.25
1135,138000,4816.0
1144,140000,2717.3333
1149,142000,6679.0
1156,144000,4795.1429
1167,146000,1484.1818
1180,148000,793.3846
1184,150000,8116.5
1194,152000,2511.7
1199,154000,8535.8
1206,156000,1905.7143
1215,158000,4960.5556
1223,160000,2258.625
1232,162000,3310.7778
1241,164000,2696.2222
1248,166000,4205.5714
1257,168000,1944.2222
1266,170000,3216.5556
1276,172000,2719.3
1295,174000,183.1579
1312,176000,433.5882
1323,178000,2237.6364
1332,180000,1338.8889
1348,182000,909.4375
1368,184000,334.6
1385,186000,552.8235
1402,188000,268.4118
1417,190000,565.9333
